Symbol,Gene ID,Means(Susceptible),Means(Resilient),log2(Susceptible / Resilient),PValue,Up/Down Regulation,Gene Name
Rac3,170758,69.03449643,148.2269638,-1.102418551,0.002157687,DOWN,RAS-related C3 botulinum substrate 3
Rad54b,623474,8.464353972,24.13844915,-1.511861123,0.001908578,DOWN,RAD54 homolog B (S. cerevisiae)
Rnaset2b,68195,160.4045309,348.0787231,-1.117698736,0.043408185,DOWN,ribonuclease T2B
Robo3,19649,173.0358308,82.38326332,1.070647631,0.041144728,UP,roundabout guidance receptor 3
Rpl34,68436,659.2056176,1490.090237,-1.176599258,0.01825014,DOWN,ribosomal protein L34
Rpl34-ps1,619547,699.8176819,268.3804751,1.382699399,0.010178849,UP,"ribosomal protein L34, pseudogene 1"
Rps18,20084,1002.902959,2071.633948,-1.046587088,0.006397223,DOWN,ribosomal protein S18
Scn7a,20272,54.58408483,113.6720577,-1.058325394,0.002522041,DOWN,"sodium channel, voltage-gated, type VII, alpha"
Scube2,56788,40.40673249,16.48392087,1.293536249,0.005089971,UP,"signal peptide, CUB domain, EGF-like 2"
Slc25a47,104910,22.55224782,48.02717323,-1.090579661,0.003991996,DOWN,"solute carrier family 25, member 47"
Slc7a15,328059,17.82384762,8.101652493,1.137520695,0.039182145,UP,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 15"
Smim24,72273,1.603991716,3.511290204,-1.130334547,0.031698585,DOWN,small integral membrane protein 24
Sp140,434484,11.97737783,5.506343914,1.121145472,0.04765489,UP,Sp140 nuclear body protein
St8sia6,241230,25.67195349,12.20891506,1.072258079,0.046476387,UP,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
Sv2c,75209,1010.805998,463.9101868,1.123588699,0.0034324,UP,synaptic vesicle glycoprotein 2c
Tagap,72536,68.07398753,24.16048338,1.494454301,0.00194367,UP,T cell activation Rho GTPase activating protein
Tgoln2,22135,254.7559079,43.94750637,2.535262391,9.70E-06,UP,trans-golgi network protein 2
Tmem181c-ps,100040525,1050.117015,263.0423167,1.997183281,0.000152839,UP,"transmembrane protein 181C, pseudogene"
Tmem71,213068,3.05193255,7.032499403,-1.204314447,0.034721199,DOWN,transmembrane protein 71
Tmod4,50874,11.60408662,5.13531113,1.176109378,0.036531621,UP,tropomodulin 4
Tnni1,21952,25.33707425,52.63416458,-1.054749608,0.015957275,DOWN,"troponin I, skeletal, slow 1"
Trex1,22040,45.94621372,94.88877019,-1.04629138,0.044816015,DOWN,three prime repair exonuclease 1
Trhr,22045,84.70100381,207.7688507,-1.294528405,0.008114495,DOWN,thyrotropin releasing hormone receptor
Trim68,101700,37.55477497,81.25112926,-1.113391511,0.005822476,DOWN,tripartite motif-containing 68
Ugt1a6a,94284,17.97218392,60.62523891,-1.754152797,0.000204212,DOWN,"UDP glucuronosyltransferase 1 family, polypeptide A6A"
Vmn2r30,22306,2.84167832,58.88247376,-4.373023128,9.39E-17,DOWN,"vomeronasal 2, receptor 30"
Vmn2r32,22311,2.880956592,93.21757629,-5.015982174,2.60E-23,DOWN,"vomeronasal 2, receptor 32"
Vmn2r36,100042653,2.653035466,25.99516806,-3.292527615,3.74E-09,DOWN,"vomeronasal 2, receptor 36"
Vmn2r40,100042781,2.857531626,39.87157385,-3.802519183,3.06E-12,DOWN,"vomeronasal 2, receptor 40"
Vmn2r41,100042848,2.857531626,39.87157385,-3.802519183,3.06E-12,DOWN,"vomeronasal 2, receptor 41"
Vmn2r47,100042891,2.914127987,22.47833027,-2.947398727,2.06E-07,DOWN,"vomeronasal 2, receptor 47"
Vmn2r49,625605,1.945707349,5.47235774,-1.491867813,0.007057953,DOWN,"vomeronasal 2, receptor 49"
Vmn2r51,100042921,2.183205247,7.757940665,-1.829225975,0.001258173,DOWN,"vomeronasal 2, receptor 51"
Vwf,22371,1003.800718,487.9862481,1.040560486,0.029832037,UP,Von Willebrand factor
Zbed6,667118,56.28806032,26.09195985,1.10922362,0.032174334,UP,"zinc finger, BED type containing 6"
Zfp729a,212281,181.2302028,57.99601534,1.643797719,5.83E-06,UP,zinc finger protein 729a
