Symbol,Gene ID,Means(Susceptible),Means(Control),log2(Susceptible / Control),PValue,Up/Down Regulation,Gene Name
Noxred1,71275,15.89176528,6.883087053,1.207151729,0.021749884,UP,NADP+ dependent oxidoreductase domain containing 1
Npcd,504193,92.83598048,198.510061,-1.096456164,0.029169867,DOWN,neuronal pentraxin chromo domain
Plac9b,100039246,23.6229285,9.079473587,1.379507264,0.008156122,UP,placenta specific 9b
Rpl10a,19896,43.60007453,91.42185337,-1.068208465,0.006808813,DOWN,ribosomal protein L10A
Setdb2-phf11c,107303348,19.16287864,9.005885522,1.089374254,0.03110126,UP,Setdb2-Phf11c readthrough
Sumf2,67902,54.90852512,24.3265742,1.174496994,0.016749702,UP,sulfatase modifying factor 2
Vmn2r30,22306,13.0966164,28.23521048,-1.108301256,0.019112007,DOWN,"vomeronasal 2, receptor 30"
Vmn2r40,100042781,10.77907151,22.32453785,-1.050397398,0.024627311,DOWN,"vomeronasal 2, receptor 40"
Vmn2r41,100042848,10.77907151,22.32453785,-1.050397398,0.024627311,DOWN,"vomeronasal 2, receptor 41"
Xlr3a,22445,15.63024297,33.58506731,-1.103479715,0.023330466,DOWN,X-linked lymphocyte-regulated 3A
Aebp2,,,,-1.456014174,,DOWN,
Pcdha6,,,,-1.708031826,,DOWN,
Gm5643,,,,-1.166760121,,DOWN,
Rn45s,,,,-0.489841868,,DOWN,
Hnrnpa1,,,,0.902834272,,UP,
Penk,,,,0.599655784,,UP,
Meis2,,,,0.78577563,,UP,
Gh,,,,2.238111001,,UP,
Cd63,,,,-1.073108507,,DOWN,
Myoc,,,,-3.09429504,,DOWN,
Gt(ROSA)26Sor,,,,-1.912762797,,DOWN,
Krt2,,,,-3.442890038,,DOWN,
Ppp1r1b,,,,0.660163832,,UP,
Slc13a4,,,,-2.896414454,,DOWN,
Col6a1,,,,0.452305021,,UP,
Rps27,,,,-6.276688893,,DOWN,
Chn1,,,,-1.424868754,,DOWN,
Meis2,,,,1.505269757,,UP,
Chtop,,,,-1.692414835,,DOWN,
Hbb-b2,,,,1.780456221,,UP,
Cul5,,,,-1.169010989,,DOWN,
Rps27rt,,,,5.582518128,,UP,
Rsc1a1,,,,-1.775709942,,DOWN,
Hba-a2,,,,1.79773939,,UP,
Rnf8-cmtr1,,,,1.83945118,,UP,
Pcdha9,,,,2.399269776,,UP,
Plin4,,,,1.247227761,,UP,
Ppp2r2b,,,,-0.629015213,,DOWN,
Szrd1,,,,-0.712237163,,DOWN,
Os9,,,,-0.519382099,,DOWN,
Limk1,,,,-0.616943561,,DOWN,
Sgk1,,,,0.704970692,,UP,
Gm20605,,,,-1.263441549,,DOWN,
Vwf,,,,0.9935585,,UP,
3110035E14Rik,,,,-0.570609087,,DOWN,
Dclre1c,,,,1.295206688,,UP,
Nov,,,,-0.689787452,,DOWN,
Pcdha1,,,,2.115507076,,UP,
Actn2,,,,0.460261543,,DOWN,
Pcdhga8,,,,1.31048235,,UP,
Igf2,,,,-0.592971061,,DOWN,
Malat1,,,,0.537494924,,UP,
Ryr3,,,,0.393482275,,UP,
H2-T22,,,,-1.864386374,,DOWN,
Dpy19l1,,,,-0.397560017,,DOWN,
Atp6v0c-ps2,,,,-7.625570204,,DOWN,
Cck,,,,-0.662303912,,DOWN,
Chrdl1,,,,1.324855289,,UP,
Gm12669,,,,-1.727931356,,DOWN,
D3Ertd751e,,,,-0.731754705,,DOWN,
Cdr1,,,,0.695240891,,UP,
Dyrk1a,,,,-0.710164033,,DOWN,
Dlc1,,,,-0.417841405,,DOWN,
