Symbol,Gene ID,Means(Resilient),Means(Control),log2(Resilient / Control),PValue,Up/Down Regulation,Gene Name,,,,,,,,,,
Dnase1l2,66705,10.77150682,2.704461246,1.993806952,0.000675233,UP,deoxyribonuclease 1-like 2,,,,,,,,,,
Dok3,27261,100.6749995,36.6679296,1.457114751,0.000937604,UP,docking protein 3,,,,,,,,,,
Eif3j2,100042807,48.61094727,302.5017285,-2.637590233,6.83E-06,DOWN,"eukaryotic translation initiation factor 3, subunit J2",,,,,,,,,,
Eno1b,433182,649.3857185,1639.719805,-1.336301746,0.015181367,DOWN,"enolase 1B, retrotransposed",,,,,,,,,,
Esr2,13983,18.50543194,8.066507242,1.197932776,0.022180072,UP,estrogen receptor 2 (beta),,,,,,,,,,
F630042J09Rik,100038627,12.16045789,31.88746983,-1.390792076,0.012749772,DOWN,RIKEN cDNA F630042J09 gene,,,,,,,,,,
Fam227b,75823,12.75755191,34.89795752,-1.45179109,0.011798784,DOWN,"family with sequence similarity 227, member B",,,,,,,,,,
Fbxw15,382105,33.26293078,14.51740903,1.196131296,0.02975178,UP,F-box and WD-40 domain protein 15,,,,,,,,,,
Gabre,14404,34.68774408,75.86643547,-1.129035737,0.030079847,DOWN,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",,,,,,,,,,
Gbp4,17472,26.12756879,56.89221438,-1.122658349,0.020906575,DOWN,guanylate binding protein 4,,,,,,,,,,
Gfy,100039953,3.811840165,1.764462128,1.111259162,0.049116456,UP,golgi-associated olfactory signaling regulator,,,,,,,,,,
Gipc2,54120,15.27852422,33.06156969,-1.113650024,0.032741713,DOWN,"GIPC PDZ domain containing family, member 2",,,,,,,,,,
Glt8d2,74782,161.2573339,77.10978211,1.064378978,0.023387162,UP,glycosyltransferase 8 domain containing 2,,,,,,,,,,
Gm10037,102637366,47.75969683,22.91875064,1.059265277,0.038145255,UP,predicted gene 10037,,,,,,,,,,
Gm1821,218963,1505.764456,5070.781986,-1.751712138,0.00114962,DOWN,ubiquitin pseudogene,,,,,,,,,,
Gm3893,100042539,6.657119611,21.32898195,-1.679845112,0.004258727,DOWN,predicted gene 3893,,,,,,,,,,
Gm9994,100041596,19.51366093,85.51630018,-2.131714972,0.000256672,DOWN,predicted gene 9994,,,,,,,,,,
H2-L,14980,56.96224677,282.7979319,-2.311693613,8.38E-05,DOWN,"histocompatibility 2, D region locus L",,,,,,,,,,
H2-Q5,15016,5.075853833,14.80789963,-1.544644592,0.008506223,DOWN,"histocompatibility 2, Q region locus 5",,,,,,,,,,
H2-Q8,15019,24.52744394,93.32793555,-1.927912088,4.71E-05,DOWN,"histocompatibility 2, Q region locus 8",,,,,,,,,,
H2-Q9,110558,6.637764219,13.98221187,-1.074823311,0.044526542,DOWN,"histocompatibility 2, Q region locus 9",,,,,,,,,,
H2-T10,15024,37.41919666,104.640068,-1.483584893,0.00605771,DOWN,"histocompatibility 2, T region locus 10",,,,,,,,,,
Hba-a1,15122,198.1720421,40.80369727,2.279981655,7.54E-05,UP,"hemoglobin alpha, adult chain 1",,,,,,,,,,
Hba-a2,110257,162.9583266,3.812702627,5.417545249,2.58E-25,UP,"hemoglobin alpha, adult chain 2",,,,,,,,,,
Hbb-bs,100503605,201.8555669,18.20249207,3.471115489,7.41E-12,UP,"hemoglobin, beta adult s chain",,,,,,,,,,
Hbb-bt,101488143,30.01537522,9.769751583,1.619307919,0.006068909,UP,"hemoglobin, beta adult t chain",,,,,,,,,,
Hist2h2aa2,319192,33.56676215,77.03569717,-1.198493742,0.017963056,DOWN,"histone cluster 2, H2aa2",,,,,,,,,,
Hist2h2bb,319189,25.40399638,78.86571465,-1.634342783,0.00399163,DOWN,"histone cluster 2, H2bb",,,,,,,,,,
Hpdl,242642,10.56587022,21.27481433,-1.009734946,0.040476398,DOWN,4-hydroxyphenylpyruvate dioxygenase-like,,,,,,,,,,
Hspa1a,193740,628.8367875,292.7326299,1.103102052,0.004522918,UP,heat shock protein 1A,,,,,,,,,,
Hspa1b,15511,891.9096791,421.225137,1.082306087,0.00444624,UP,heat shock protein 1B,,,,,,,,,,
Insrr,23920,5.033435095,11.4192531,-1.181853075,0.044039437,DOWN,insulin receptor-related receptor,,,,,,,,,,
Itga10,213119,112.2142256,55.25965554,1.021957106,0.015455653,UP,"integrin, alpha 10",,,,,,,,,,
Khdc3,66991,20.93908554,9.620732319,1.121979818,0.033081453,UP,"KH domain containing 3, subcortical maternal complex member",,,,,,,,,,
Krt2,16681,68.64201046,27.44077655,1.3227705,0.01930452,UP,keratin 2,,,,,,,,,,
Krt83,406219,2.613524962,6.828995261,-1.385676394,0.017789133,DOWN,keratin 83,,,,,,,,,,
Lax1,240754,14.75762445,6.644180332,1.151297373,0.035206496,UP,lymphocyte transmembrane adaptor 1,,,,,,,,,,
Lhx9,16876,36.37111213,16.11365237,1.174509503,0.034938067,UP,LIM homeobox protein 9,,,,,,,,,,
LOC100861615,100861615,39.2938341,101.5900862,-1.37038477,0.009126126,DOWN,alpha takusan-like,,,,,,,,,,
Lpp,210126,156.1782121,475.7604557,-1.607042161,0.001294595,DOWN,LIM domain containing preferred translocation partner in lipoma,,,,,,,,,,
Lrrc48,74665,357.2967087,173.3697399,1.043270513,0.013959201,UP,leucine rich repeat containing 48,,,,,,,,,,
Magohb,66441,35.25474492,72.88938884,-1.047891362,0.014688616,DOWN,"mago homolog B, exon junction complex core component",,,,,,,,,,
Marveld2,218518,17.64440094,37.88991281,-1.102603371,0.031228604,DOWN,MARVEL (membrane-associating) domain containing 2,,,,,,,,,,
Masp2,17175,70.40506098,149.4463513,-1.08587663,0.026531574,DOWN,mannan-binding lectin serine peptidase 2,,,,,,,,,,
Mfsd3,69572,3.667771785,32.13050134,-3.130967712,8.33E-08,DOWN,major facilitator superfamily domain containing 3,,,,,,,,,,
Mirt1,381232,136.9754217,60.2644514,1.184537899,0.015174245,UP,myocardial infarction associated transcript 1,,,,,,,,,,
Morf4l1b,627352,166.4592165,1119.214443,-2.749245828,5.95E-08,DOWN,mortality factor 4 like 1B,,,,,,,,,,
Mybpc1,109272,94.75794208,25.62176573,1.886876964,0.001388399,UP,"myosin binding protein C, slow-type",,,,,,,,,,
Nat8f2,93673,17.93689203,43.90466424,-1.291444281,0.026438276,DOWN,N-acetyltransferase 8 (GCN5-related) family member 2,,,,,,,,,,
Ngfr,18053,255.9412693,557.1738254,-1.122314692,0.025180712,DOWN,"nerve growth factor receptor (TNFR superfamily, member 16)",,,,,,,,,,
Nlrp5-ps,100417675,6.528233098,2.634024851,1.309423614,0.024600662,UP,"NLR family, pyrin domain containing 5, pseudogene",,,,,,,,,,
Ntrk1,18211,88.32353783,204.8491131,-1.213691781,0.031746864,DOWN,"neurotrophic tyrosine kinase, receptor, type 1",,,,,,,,,,
Olfr1392,258462,3.981341074,9.448174574,-1.246781152,0.029451087,DOWN,olfactory receptor 1392,,,,,,,,,,
Olfr545,258837,4.716638125,2.157734466,1.128241581,0.044155729,UP,olfactory receptor 545,,,,,,,,,,
Ooep,67968,8.342897336,3.549653006,1.232870491,0.023894622,UP,oocyte expressed protein,,,,,,,,,,
Pcdhgb8,93705,53.50957238,112.6875502,-1.07445923,0.000291508,DOWN,"protocadherin gamma subfamily B, 8",,,,,,,,,,
Pla2g4e,329502,117.1736513,313.8078475,-1.421233241,0.000701356,DOWN,"phospholipase A2, group IVE",,,,,,,,,,
Plac9b,100039246,38.49880633,13.17802814,1.546679203,0.008756514,UP,placenta specific 9b,,,,,,,,,,
Plin4,57435,163.94839,374.8880454,-1.193218087,0.032061805,DOWN,perilipin 4,,,,,,,,,,
Prss41,71003,9.064108957,34.50704893,-1.92865399,0.00091336,DOWN,"protease, serine 41",,,,,,,,,,
Prss56,69453,5.090595169,11.70084165,-1.200706063,0.041855005,DOWN,"protease, serine 56",,,,,,,,,,
Psme2b,621823,5.615100221,2.540603999,1.144140251,0.046451665,UP,"protease (prosome, macropain) activator subunit 2B",,,,,,,,,,
Rab37,58222,40.46548202,88.01363516,-1.121035264,0.048723292,DOWN,"RAB37, member RAS oncogene family",,,,,,,,,,
Rbp1,19659,154.5202824,62.13844538,1.314238167,0.016409126,UP,"retinol binding protein 1, cellular",,,,,,,,,,
Rpl10a,19896,44.05431923,93.59503042,-1.087148457,0.018501472,DOWN,ribosomal protein L10A,,,,,,,,,,
Rpl34-ps1,619547,327.0244794,851.7215741,-1.380983261,0.012632995,DOWN,"ribosomal protein L34, pseudogene 1",,,,,,,,,,
Rps2,16898,7593.260569,3784.634198,1.004565652,0.018697304,UP,ribosomal protein S2,,,,,,,,,,
Scn7a,20272,114.5969853,55.66233705,1.041795703,0.008473813,UP,"sodium channel, voltage-gated, type VII, alpha",,,,,,,,,,
Scube2,56788,16.63870369,39.11228653,-1.233078841,0.010168691,DOWN,"signal peptide, CUB domain, EGF-like 2",,,,,,,,,,
Serpina3f,238393,14.12093834,40.19849201,-1.509305422,0.009457532,DOWN,"serine (or cysteine) peptidase inhibitor, clade A, member 3F",,,,,,,,,,
Slc37a2,56857,120.8439297,46.56741512,1.375752298,0.009753119,UP,"solute carrier family 37 (glycerol-3-phosphate transporter), member 2",,,,,,,,,,
Slc39a2,214922,15.74130523,6.64182383,1.244903809,0.032457367,UP,"solute carrier family 39 (zinc transporter), member 2",,,,,,,,,,
Slc7a15,328059,8.735541526,32.05047388,-1.875376643,0.001484582,DOWN,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 15",,,,,,,,,,
Tagap,72536,28.78555447,76.34297555,-1.407150417,0.011908781,DOWN,T cell activation Rho GTPase activating protein,,,,,,,,,,
Tgoln2,22135,91.7056756,310.2658361,-1.758421919,0.002269907,DOWN,trans-golgi network protein 2,,,,,,,,,,
Tgtp2,100039796,22.22278647,53.9105365,-1.278527542,0.007977689,DOWN,T cell specific GTPase 2,,,,,,,,,,
Tmem181c-ps,100040525,269.3349471,603.4572868,-1.163850223,0.0477885,DOWN,"transmembrane protein 181C, pseudogene",,,,,,,,,,
Tmprss4,214523,10.11735781,27.20679125,-1.427134243,0.005003212,DOWN,"transmembrane protease, serine 4",,,,,,,,,,
Tnk2os,675921,11.40203726,30.15913547,-1.403303452,0.003041098,DOWN,"tyrosine kinase, non-receptor 2, opposite strand",,,,,,,,,,
Traf1,22029,24.03817584,10.03262329,1.260628535,0.032551523,UP,TNF receptor-associated factor 1,,,,,,,,,,
Trhr,22045,214.647614,95.65629395,1.166038333,0.0126944,UP,thyrotropin releasing hormone receptor,,,,,,,,,,
Ugt1a6a,94284,62.47610937,27.09635819,1.205205651,0.008463317,UP,"UDP glucuronosyltransferase 1 family, polypeptide A6A",,,,,,,,,,
Xlr3a,22445,15.30731742,35.26917342,-1.204186289,0.019162067,DOWN,X-linked lymphocyte-regulated 3A,,,,,,,,,,
Zbed6,667118,5.957439595,35.22138081,-2.563687146,1.31E-05,DOWN,"zinc finger, BED type containing 6",,,,,,,,,,
Zfp729a,212281,58.30378589,118.2305247,-1.019941086,0.022785758,DOWN,zinc finger protein 729a,,,,,,,,,,
Zfp951,626391,16.56308703,34.01248048,-1.038092636,0.02513102,DOWN,zinc finger protein 951,,,,,,,,,,
Col6a1,,,,0.7528294,,,,,,,,,,,,,
Vgll3,,,,-2.396287635,,,,,,,,,,,,,
Olig3,,,,-4.075787103,,,,,,,,,,,,,
C1ql2,,,,-1.823108507,,,,,,,,,,,,,
Meis2,,,,1.364560612,,,,,,,,,,,,,
Adamts3,,,,1.192319867,,,,,,,,,,,,,
Krt2,,,,-4.114630697,,,,,,,,,,,,,
Rasd2,,,,0.845690808,,,,,,,,,,,,,
Myo1b,,,,0.622060166,,,,,,,,,,,,,
Sema5b,,,,0.803298948,,,,,,,,,,,,,
Ryr1,,,,0.610022184,,,,,,,,,,,,,
Dgkg,,,,-0.577028473,,,,,,,,,,,,,
Ryr3,,,,0.461811364,,,,,,,,,,,,,
Lingo3,,,,0.571861688,,,,,,,,,,,,,
Itpr1,,,,0.532199707,,,,,,,,,,,,,
Rasgrp2,,,,1.423019534,,,,,,,,,,,,,
Dio3,,,,-1.390803154,,,,,,,,,,,,,
Nnat,,,,-0.664493766,,,,,,,,,,,,,
Neat1,,,,0.614838464,,,,,,,,,,,,,
Pde1c,,,,1.214521882,,,,,,,,,,,,,
Cadm1,,,,-0.467146898,,,,,,,,,,,,,
Gabrd,,,,0.931045019,,,,,,,,,,,,,
Chat,,,,3.960737517,,,,,,,,,,,,,
Lgals1,,,,-1.373294538,,,,,,,,,,,,,
Stard10,,,,0.706944198,,,,,,,,,,,,,
Inf2,,,,0.967086087,,,,,,,,,,,,,
Gnal,,,,0.692197317,,,,,,,,,,,,,
Ngef,,,,0.559383302,,,,,,,,,,,,,
Pik3c2b,,,,0.670021995,,,,,,,,,,,,,
Atp2b2,,,,0.401493332,,,,,,,,,,,,,
Dcn,,,,-1.73517815,,,,,,,,,,,,,
Mbp,,,,0.46077192,,,,,,,,,,,,,
Pou3f1,,,,0.920589048,,,,,,,,,,,,,
Col11a2,,,,1.057117206,,,,,,,,,,,,,
Ptgds,,,,0.77340835,,,,,,,,,,,,,
Elmod1,,,,0.462904759,,,,,,,,,,,,,
Syt6,,,,0.982976697,,,,,,,,,,,,,
Nexn,,,,2.71080298,,,,,,,,,,,,,
Kif17,,,,0.526085532,,,,,,,,,,,,,
Scube3,,,,1.248327556,,,,,,,,,,,,,
Gpr6,,,,2.067686205,,,,,,,,,,,,,
Sec24d,,,,-0.691365104,,,,,,,,,,,,,
Thrb,,,,-0.556625654,,,,,,,,,,,,,
Kcnk2,,,,0.486940955,,,,,,,,,,,,,
Mtcl1,,,,0.488315498,,,,,,,,,,,,,
A830018L16Rik,,,,-0.632014319,,,,,,,,,,,,,
Ptpru,,,,-0.620560557,,,,,,,,,,,,,
Drd1,,,,0.921198818,,,,,,,,,,,,,
Slc18a3,,,,3.156383699,,,,,,,,,,,,,
Gpr88,,,,1.728731636,,,,,,,,,,,,,
Rsph4a,,,,-0.603457394,,,,,,,,,,,,,
Slc7a3,,,,-0.600657412,,,,,,,,,,,,,
Rarb,,,,1.107400719,,,,,,,,,,,,,
Tmod1,,,,0.555452556,,,,,,,,,,,,,
Cpne5,,,,0.663297109,,,,,,,,,,,,,
Plekhh1,,,,0.615712811,,,,,,,,,,,,,
Slc35d3,,,,1.310108771,,,,,,,,,,,,,
Map4k3,,,,-0.463526926,,,,,,,,,,,,,
Zic2,,,,-0.998707223,,,,,,,,,,,,,
Epb4.1,,,,0.633816463,,,,,,,,,,,,,
Gsta4,,,,-0.418590894,,,,,,,,,,,,,
Ido1,,,,2.749725545,,,,,,,,,,,,,
Stxbp2,,,,0.452022445,,,,,,,,,,,,,
Adcy5,,,,0.657748051,,,,,,,,,,,,,
Chl1,,,,-0.510809023,,,,,,,,,,,,,
Hpcal1,,,,-0.439974044,,,,,,,,,,,,,
Iqgap2,,,,-0.785429913,,,,,,,,,,,,,
Matn2,,,,-0.73466189,,,,,,,,,,,,,
Grk6,,,,0.442356932,,,,,,,,,,,,,
Rgs11,,,,0.902621716,,,,,,,,,,,,,
Rgs8,,,,0.536538224,,,,,,,,,,,,,
Glt8d2,,,,-0.819020668,,,,,,,,,,,,,
Actn2,,,,0.841185994,,,,,,,,,,,,,
Mbd6,,,,0.541154158,,,,,,,,,,,,,
Gsg1l,,,,0.502627172,,,,,,,,,,,,,
Tgfb2,,,,-0.732086503,,,,,,,,,,,,,
Prkch,,,,1.520964282,,,,,,,,,,,,,
Rassf8,,,,-0.700004604,,,,,,,,,,,,,
1190002N15Rik,,,,-0.41088582,,,,,,,,,,,,,
Sh2d5,,,,0.481648979,,,,,,,,,,,,,
Mobp,,,,0.575932451,,,,,,,,,,,,,
Scn4b,,,,3.40529402,,,,,,,,,,,,,
Pde1b,,,,0.719299213,,,,,,,,,,,,,
Asic4,,,,0.75975296,,,,,,,,,,,,,
1700003D09Rik,,,,1.649117313,,,,,,,,,,,,,
Grm4,,,,0.7530102,,,,,,,,,,,,,
Col6a2,,,,0.658945901,,,,,,,,,,,,,
Tmem200a,,,,-0.494642427,,,,,,,,,,,,,
Lypd1,,,,-0.713459187,,,,,,,,,,,,,
Acot1,,,,-0.62734932,,,,,,,,,,,,,
Plekhg3,,,,0.577844871,,,,,,,,,,,,,
Nfib,,,,-0.68966164,,,,,,,,,,,,,
Fmod,,,,1.415899514,,,,,,,,,,,,,
Ccnd1,,,,-0.574244483,,,,,,,,,,,,,
Kcnh4,,,,0.971429091,,,,,,,,,,,,,
Slc29a4,,,,-0.623429314,,,,,,,,,,,,,
Fat3,,,,0.41565735,,,,,,,,,,,,,
Pcp4l1,,,,0.786570844,,,,,,,,,,,,,
Lamp5,,,,0.40630968,,,,,,,,,,,,,
Drd2,,,,2.349348467,,,,,,,,,,,,,
Nkain3,,,,-0.591977062,,,,,,,,,,,,,
Itgb4,,,,0.876360867,,,,,,,,,,,,,
Gng7,,,,0.756547821,,,,,,,,,,,,,
4932418E24Rik,,,,1.207550008,,,,,,,,,,,,,
Acer2,,,,0.78814932,,,,,,,,,,,,,
2810468N07Rik,,,,0.43167872,,,,,,,,,,,,,
Sgpp2,,,,0.730749955,,,,,,,,,,,,,
Esr1,,,,-0.916337957,,,,,,,,,,,,,
Sertm1,,,,-0.533818953,,,,,,,,,,,,,
Ak7,,,,-2.524019367,,,,,,,,,,,,,
Aloxe3,,,,-0.943073071,,,,,,,,,,,,,
Slc44a5,,,,-0.781325455,,,,,,,,,,,,,
Foxp1,,,,0.753307111,,,,,,,,,,,,,
Tac1,,,,0.953747868,,,,,,,,,,,,,
Tbc1d4,,,,0.740876687,,,,,,,,,,,,,
Deptor,,,,0.549265003,,,,,,,,,,,,,
Myh14,,,,0.502889134,,,,,,,,,,,,,
Kctd4,,,,-0.832065182,,,,,,,,,,,,,
Them6,,,,0.528185237,,,,,,,,,,,,,
Tll1,,,,-1.340829707,,,,,,,,,,,,,
Spon1,,,,-0.416375934,,,,,,,,,,,,,
Fezf2,,,,-0.998773886,,,,,,,,,,,,,
Six3,,,,1.166191988,,,,,,,,,,,,,
Cd4,,,,3.5610239,,,,,,,,,,,,,
Ncam2,,,,-0.511119927,,,,,,,,,,,,,
Mpped2,,,,0.532836361,,,,,,,,,,,,,
Fbxo32,,,,0.680206177,,,,,,,,,,,,,
Sertad4,,,,0.75940502,,,,,,,,,,,,,
Cd24a,,,,-0.788809996,,,,,,,,,,,,,
Wnk4,,,,1.071185326,,,,,,,,,,,,,
Lhx8,,,,2.467486943,,,,,,,,,,,,,
Col11a1,,,,1.363805601,,,,,,,,,,,,,
Oprk1,,,,0.668416361,,,,,,,,,,,,,
Ctbp2,,,,-0.432547394,,,,,,,,,,,,,
Kcnj2,,,,0.762241444,,,,,,,,,,,,,
Six3os1,,,,1.220121253,,,,,,,,,,,,,
Tmem158,,,,0.688940914,,,,,,,,,,,,,
Arhgef28,,,,-0.530811791,,,,,,,,,,,,,
Strn3,,,,0.62566738,,,,,,,,,,,,,
Shb,,,,0.901143227,,,,,,,,,,,,,
Trhr2,,,,1.539144063,,,,,,,,,,,,,
Fos,,,,-0.587792696,,,,,,,,,,,,,
Gpr83,,,,0.593622885,,,,,,,,,,,,,
Cyp2s1,,,,1.210004629,,,,,,,,,,,,,
Slc10a4,,,,1.564188742,,,,,,,,,,,,,
Crym,,,,-0.565846341,,,,,,,,,,,,,
Pde8b,,,,0.446880201,,,,,,,,,,,,,
Nt5e,,,,1.305895558,,,,,,,,,,,,,
Rps27,,,,-5.908581687,,,,,,,,,,,,,
Pik3r1,,,,-1.36890076,,,,,,,,,,,,,
Nrxn1,,,,1.198476994,,,,,,,,,,,,,
Pcdha10,,,,2.701186632,,,,,,,,,,,,,
Rps27rt,,,,5.64559533,,,,,,,,,,,,,
Pcdhga4,,,,1.461599817,,,,,,,,,,,,,
Pcdha6,,,,-1.358137336,,,,,,,,,,,,,
Slc13a4,,,,2.453699347,,,,,,,,,,,,,
Trpm3,,,,0.873638035,,,,,,,,,,,,,
Abca4,,,,2.849026299,,,,,,,,,,,,,
Lbp,,,,3.669534815,,,,,,,,,,,,,
Dsp,,,,2.938069719,,,,,,,,,,,,,
H2-T22,,,,-1.774662506,,,,,,,,,,,,,
Rsc1a1,,,,-1.786137986,,,,,,,,,,,,,
Gfra4,,,,-1.638463644,,,,,,,,,,,,,
Yaf2,,,,-1.29520115,,,,,,,,,,,,,
Plin4,,,,1.135733185,,,,,,,,,,,,,
Sostdc1,,,,2.231674083,,,,,,,,,,,,,
Rasgrp4,,,,-1.72047271,,,,,,,,,,,,,
Prlr,,,,1.897325198,,,,,,,,,,,,,
Igfbp2,,,,1.124052785,,,,,,,,,,,,,
Sgk1,,,,0.973851447,,,,,,,,,,,,,
Pcdha5,,,,2.362215344,,,,,,,,,,,,,
Prdx6,,,,-0.936432767,,,,,,,,,,,,,
Col8a2,,,,3.260568081,,,,,,,,,,,,,
Clic6,,,,0.809050599,,,,,,,,,,,,,
Aes,,,,-0.804032274,,,,,,,,,,,,,
