configuration_id,bioproject,gene_name,mean,gene_logfc,gene_lfcSE,gene_stat,gene_pvalue,gene_qvalue,conditions
PRJNA292861_1,PRJNA292861,G3bp2,683.068227,1.014886549,0.193008885,5.258237456,1.45E-07,0.000317152,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Hba-a1,489.9808337,4.949886815,0.991928179,4.990166546,6.03E-07,0.001096247,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Gnl3l,681.9971148,0.946580551,0.200616383,4.718361157,2.38E-06,0.003703159,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Snora81,571.9244523,-0.768541672,0.164219656,-4.679961517,2.87E-06,0.00391048,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Gprc5b,1721.416593,0.684938482,0.152017721,4.505648923,6.62E-06,0.008016178,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Vaultrc5,5426.079494,-0.511887107,0.114899195,-4.455097438,8.39E-06,0.009142722,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Prdx6,254.2941299,0.9440841,0.218533737,4.320083995,1.56E-05,0.015459445,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_1,PRJNA292861,Kcnmb4os2,92.29766322,-1.69723671,0.400968278,-4.232845343,2.31E-05,0.020965851,"((Time.from.stress.h==""control"" | Time.from.stress.h==""0.1666"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_2,PRJNA292861,Calm2,4573.598591,0.772134864,0.108340621,7.126919299,1.03E-12,1.33E-08,"((Time.from.stress.h==""4"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_3,PRJNA292861,Prdx6,290.1931092,1.193966045,0.207575589,5.751957884,8.82E-09,6.68E-05,"((Time.from.stress.h==""0.0833"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_3,PRJNA292861,Malat1,42597.35589,0.565231545,0.102619406,5.508037581,3.63E-08,0.000137414,"((Time.from.stress.h==""0.0833"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_3,PRJNA292861,Tceal8,246.544589,5.022368216,1.059467727,4.740463617,2.13E-06,0.00538334,"((Time.from.stress.h==""0.0833"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_3,PRJNA292861,Gpm6b,7169.79251,-0.580773648,0.125664706,-4.62161307,3.81E-06,0.007209836,"((Time.from.stress.h==""0.0833"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA292861_3,PRJNA292861,Stxbp1,767.1287447,-0.676865984,0.153720883,-4.403214257,1.07E-05,0.016156665,"((Time.from.stress.h==""0.0833"" | Time.from.stress.h==""control"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Ccdc85a,1554.610652,1.529955082,0.188152714,8.131453688,4.24E-16,4.72E-12,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Gm38431,163.2972992,-3.593617494,0.458975506,-7.829649841,4.89E-15,2.72E-11,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Npy2r,351.4471564,2.022940328,0.276878564,7.306236708,2.75E-13,1.02E-09,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Neurl1a,1695.803679,1.693741155,0.247849204,6.833756683,8.27E-12,2.30E-08,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Mfap3,331.3508027,2.085440829,0.32699531,6.377586361,1.80E-10,4.01E-07,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Cbll1,325.6175469,-1.836282099,0.306636531,-5.988464894,2.12E-09,3.93E-06,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Hif3a,103.5686072,3.296790049,0.568155143,5.802622914,6.53E-09,1.04E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Slc2a1,1455.835954,1.095109298,0.191586206,5.716013276,1.09E-08,1.52E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Islr2,1296.561675,-1.644532626,0.289666954,-5.677322196,1.37E-08,1.69E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Alg11,809.6349558,-1.497824396,0.267594709,-5.597361776,2.18E-08,2.42E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Bcas1,3194.781798,-1.466606204,0.265065149,-5.533002767,3.15E-08,3.19E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Samd4,582.6270106,-1.294724645,0.243274417,-5.32207481,1.03E-07,9.52E-05,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Pgap2,157.4417755,2.326424794,0.459455422,5.063439639,4.12E-07,0.000352624,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Tsc22d3,598.4259182,2.381301613,0.472159791,5.043423135,4.57E-07,0.000363633,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fam214b,282.6621599,-1.759626123,0.357433047,-4.92295309,8.52E-07,0.00063271,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Dio2,1873.422885,0.757004531,0.156129635,4.848564024,1.24E-06,0.000865301,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fam169a,883.7039382,1.135994494,0.238096946,4.771142644,1.83E-06,0.001199638,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Zfp518b,227.2458935,-3.569968913,0.751727744,-4.749018435,2.04E-06,0.001264253,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Ddit4,1330.724305,0.9060322,0.192288088,4.711847787,2.45E-06,0.001438388,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fos,146.3293397,2.28202073,0.501513951,4.550263705,5.36E-06,0.00298246,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Kif1b,14840.63032,-0.558231837,0.123542602,-4.518537149,6.23E-06,0.003301112,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Itgam,125.6294498,2.203270625,0.490176064,4.494855601,6.96E-06,0.003470617,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Stox2,2494.526599,-0.811190843,0.18072339,-4.488576966,7.17E-06,0.003470617,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Zbtb18,10738.81872,-1.165667937,0.260491264,-4.474883033,7.65E-06,0.003546471,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Kcnj2,514.7715388,-1.030866523,0.234768024,-4.391000555,1.13E-05,0.004831305,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Arhgap39,1388.631431,0.897512846,0.204256775,4.394041989,1.11E-05,0.004831305,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fkbp5,1043.012427,0.786645104,0.181199037,4.341331602,1.42E-05,0.005839539,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Sh3glb1,1251.7899,0.888537992,0.205691355,4.319763434,1.56E-05,0.006210486,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fbxw11,1710.857955,1.314617612,0.307532982,4.274720727,1.91E-05,0.007346898,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Ednrb,646.9162368,-1.002001104,0.236673551,-4.233684328,2.30E-05,0.008531351,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Bcl11a,1954.028943,-1.180327048,0.279967494,-4.215943187,2.49E-05,0.008932846,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Cpeb2,971.7205301,-1.032013008,0.246011928,-4.194971421,2.73E-05,0.00949457,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Errfi1,607.1149933,0.972815943,0.232519735,4.18379946,2.87E-05,0.00967144,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Mgst3,162.8734721,-2.059346481,0.495331836,-4.157508829,3.22E-05,0.010494074,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Aebp2,585.8345753,1.419952385,0.342011312,4.151770238,3.30E-05,0.010494074,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Uqcc1,460.5905742,-1.163160338,0.28144439,-4.132824744,3.58E-05,0.010498183,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Rnf13,2059.903924,-0.777425723,0.187882286,-4.137834074,3.51E-05,0.010498183,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Pcdhga8,631.7717307,-1.517397914,0.366490785,-4.140343975,3.47E-05,0.010498183,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Kcnc3,862.006829,1.124127368,0.27251206,4.125055482,3.71E-05,0.010580501,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Prr18,309.5636894,-2.344271761,0.569879843,-4.113624635,3.89E-05,0.010840608,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Zbtb20,2082.474569,0.71633218,0.180000011,3.979622985,6.90E-05,0.018742716,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Fam134b,635.5648783,-1.153599618,0.299165669,-3.856056149,0.000115231,0.030544454,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,D17Wsu92e,2464.239522,-0.628514595,0.164830267,-3.813101844,0.000137234,0.035530718,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,A830018L16Rik,841.352605,-0.915860571,0.241319976,-3.795212424,0.000147517,0.037325178,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Agfg2,394.3229557,-0.97659122,0.258528706,-3.777496255,0.000158413,0.039191348,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Bcl2l1,808.5349925,0.95185413,0.25349532,3.754917963,0.000173398,0.041966149,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Scamp5,1330.735083,1.030466895,0.276363884,3.728659767,0.000192501,0.045598126,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA309704_0,PRJNA309704,Phf6,549.9831848,-0.902177365,0.243060733,-3.711736376,0.000205842,0.047742552,"((Stress.protocol==""control"" | Stress.protocol==""30_min_RS"") & (Time.from.stress.h==""1"") & (Phenotype==""na"") & (Subregion==""hipp"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Snhg11,4662.818688,0.630354515,0.050009352,12.60473277,1.99E-36,1.76E-32,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Rpl7a,189.9032082,3.295665007,0.399381846,8.2519149,1.56E-16,6.90E-13,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Rps25,1216.194989,-0.528652841,0.073549386,-7.187726042,6.59E-13,1.94E-09,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Amy1,190.2603314,1.220085851,0.178056784,6.85222896,7.27E-12,1.61E-08,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Gm5148,922.5833067,-0.580550934,0.103395129,-5.614877037,1.97E-08,3.48E-05,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Rreb1,422.4024417,0.879267164,0.184191648,4.773653823,1.81E-06,0.002670581,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Tenm2,1130.609391,0.613199967,0.13090729,4.684230872,2.81E-06,0.003555619,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Grp,268.355129,2.397984797,0.525019629,4.567419322,4.94E-06,0.005466603,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Miat,735.1851269,0.646493049,0.14285473,4.52552779,6.02E-06,0.005928774,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Rpl36al,720.239827,-0.467214701,0.108401737,-4.310029666,1.63E-05,0.013143196,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Fndc5,702.7717999,-0.403477978,0.096322884,-4.188807088,2.80E-05,0.020697676,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_0,PRJNA281134,Lypd1,4157.60711,0.86739102,0.218390164,3.971749482,7.13E-05,0.048609075,"((Subregion==""bla"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Rps25,1148.179455,1.084595008,0.131162205,8.269112313,1.35E-16,8.28E-13,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Ptpn11,2932.884877,-0.97720017,0.160562687,-6.086097528,1.16E-09,3.55E-06,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,C130074G19Rik,759.3660674,-0.880427298,0.159462449,-5.52122022,3.37E-08,6.88E-05,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Slc8a1,5609.47746,-0.765111858,0.155232984,-4.928796957,8.27E-07,0.001014858,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Canx,6284.278839,0.496644192,0.100150412,4.958983005,7.09E-07,0.001014858,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Pld5,572.7088477,-0.978272111,0.205458013,-4.761421069,1.92E-06,0.001964957,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Dyrk1a,1110.029541,0.766475765,0.16374125,4.681018164,2.85E-06,0.002500982,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
PRJNA281134_2,PRJNA281134,Trpc4,710.4442826,-0.796261584,0.174053263,-4.57481561,4.77E-06,0.003654038,"((Subregion==""nacc"") & (Stress.protocol==""CFC"" | Stress.protocol==""control"") & (Time.from.stress.h==""1536"") & (Phenotype==""na"") & (Sex==""m""))"
