,configuration_id,bioproject,gene_name,mean,gene_logfc,gene_lfcSE,gene_stat,gene_pvalue,gene_qvalue,conditions
PRJNA322294_4,PRJNA322294,Ryr1,964.9856856,0.610022184,0.110317472,5.529696907,3.21E-08,4.28E-05,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Dgkg,3979.88682,-0.577028473,0.109818225,-5.254396267,1.49E-07,0.000167497,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Ryr3,2202.03454,0.461811364,0.087680626,5.266971599,1.39E-07,0.000167497,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Lingo3,1200.57979,0.571861688,0.109561654,5.219542318,1.79E-07,0.000175324,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Itpr1,11817.50856,0.532199707,0.101954231,5.21998649,1.79E-07,0.000175324,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rasgrp2,839.7841585,1.423019534,0.273485364,5.203274919,1.96E-07,0.000179433,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Dio3,199.814171,-1.390803154,0.270031658,-5.150518883,2.60E-07,0.000211594,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Nnat,14732.42759,-0.664493766,0.128834639,-5.157726013,2.50E-07,0.000211594,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Neat1,2425.870171,0.614838464,0.119844556,5.130299501,2.89E-07,0.000223234,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Pde1c,497.8557355,1.214521882,0.237379887,5.116363883,3.11E-07,0.000228347,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Cadm1,8860.795272,-0.467146898,0.092444,-5.053296037,4.34E-07,0.000291453,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gabrd,670.2515266,0.931045019,0.184294139,5.05195132,4.37E-07,0.000291453,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Chat,92.93910834,3.960737517,0.791167114,5.006195845,5.55E-07,0.000353904,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Lgals1,238.2342333,-1.373294538,0.278748111,-4.926650557,8.37E-07,0.000511039,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Stard10,794.2335004,0.706944198,0.1447405,4.884218289,1.04E-06,0.000609001,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Inf2,3442.396099,0.967086087,0.198494266,4.872110938,1.10E-06,0.00062264,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gnal,10289.5798,0.692197317,0.144053451,4.80514221,1.55E-06,0.000839761,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Ngef,8262.98816,0.559383302,0.117207661,4.772583114,1.82E-06,0.000952391,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Pik3c2b,478.3092167,0.670021995,0.14476452,4.62835779,3.69E-06,0.001860561,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Atp2b2,12801.73098,0.401493332,0.086872195,4.621655179,3.81E-06,0.001860561,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Dcn,450.7056691,-1.73517815,0.37865604,-4.582465268,4.60E-06,0.00217341,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Mbp,44916.55193,0.46077192,0.101105174,4.557352517,5.18E-06,0.002373523,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Pou3f1,336.5640989,0.920589048,0.203052506,4.533748757,5.79E-06,0.002574556,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Col11a2,316.9747931,1.057117206,0.234128823,4.515109222,6.33E-06,0.002729036,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Ptgds,3901.445996,0.77340835,0.173471143,4.458426543,8.26E-06,0.003458702,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Elmod1,5530.891355,0.462904759,0.10413971,4.445035973,8.79E-06,0.003482311,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Syt6,764.0978439,0.982976697,0.220969664,4.448468981,8.65E-06,0.003482311,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Nexn,128.6662555,2.71080298,0.610893572,4.437439032,9.10E-06,0.003512533,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Kif17,875.8813784,0.526085532,0.118973553,4.421869549,9.79E-06,0.003678678,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Scube3,108.1919344,1.248327556,0.283845012,4.397919651,1.09E-05,0.003942792,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gpr6,162.8717707,2.067686205,0.470354194,4.396019489,1.10E-05,0.003942792,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Sec24d,655.7809051,-0.691365104,0.158471756,-4.362702352,1.28E-05,0.004484675,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Thrb,1896.905254,-0.556625654,0.129016209,-4.314385461,1.60E-05,0.005293392,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Kcnk2,1352.134435,0.486940955,0.112912525,4.31255041,1.61E-05,0.005293392,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Mtcl1,1590.322359,0.488315498,0.11327,4.311075288,1.62E-05,0.005293392,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,A830018L16Rik,2086.148324,-0.632014319,0.147075139,-4.297220604,1.73E-05,0.00551269,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Ptpru,3216.191778,-0.620560557,0.144743193,-4.287321168,1.81E-05,0.005641462,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Drd1,1165.741592,0.921198818,0.215176679,4.281127585,1.86E-05,0.005679958,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Slc18a3,74.87287418,3.156383699,0.738842089,4.272068074,1.94E-05,0.005795034,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gpr88,3334.957607,1.728731636,0.405729734,4.260796016,2.04E-05,0.005856178,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rsph4a,402.3098434,-0.603457394,0.141538655,-4.263551861,2.01E-05,0.005856178,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Slc7a3,649.4373156,-0.600657412,0.141201592,-4.253899716,2.10E-05,0.005923432,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rarb,425.3152334,1.107400719,0.261030526,4.242418444,2.21E-05,0.006003924,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Tmod1,1088.074452,0.555452556,0.130860129,4.244627904,2.19E-05,0.006003924,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Cpne5,3829.573381,0.663297109,0.157511924,4.211091399,2.54E-05,0.006774907,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Plekhh1,745.5523877,0.615712811,0.14664483,4.198667016,2.68E-05,0.006906337,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Slc35d3,218.7239868,1.310108771,0.31192376,4.2000929,2.67E-05,0.006906337,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Map4k3,2052.759131,-0.463526926,0.110952487,-4.177706481,2.94E-05,0.007317663,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Zic2,259.4007514,-0.998707223,0.23895572,-4.179465641,2.92E-05,0.007317663,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Epb4.1,576.7833722,0.633816463,0.151916056,4.172149266,3.02E-05,0.007373516,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gsta4,1199.936783,-0.418590894,0.100436752,-4.167706398,3.08E-05,0.007395414,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Ido1,31.0469163,2.749725545,0.661949895,4.153978368,3.27E-05,0.00772697,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Stxbp2,864.7509735,0.452022445,0.109034948,4.145665717,3.39E-05,0.007885546,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Adcy5,10592.18014,0.657748051,0.160387728,4.100987396,4.11E-05,0.009002708,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Chl1,7809.043234,-0.510809023,0.124520148,-4.102219845,4.09E-05,0.009002708,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Hpcal1,5622.042425,-0.439974044,0.10727807,-4.101248706,4.11E-05,0.009002708,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Iqgap2,722.3067963,-0.785429913,0.191350076,-4.104675204,4.05E-05,0.009002708,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Matn2,1486.022259,-0.73466189,0.181387515,-4.050234048,5.12E-05,0.010872496,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Grk6,1835.354054,0.442356932,0.109189418,4.051280245,5.09E-05,0.010872496,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rgs11,476.1784617,0.902621716,0.223104996,4.045726148,5.22E-05,0.010925532,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rgs8,3972.217721,0.536538224,0.132873054,4.037976151,5.39E-05,0.010979055,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Glt8d2,225.9586921,-0.819020668,0.202748626,-4.03958677,5.35E-05,0.010979055,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Actn2,656.0486797,0.841185994,0.208869297,4.027331957,5.64E-05,0.011330585,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Mbd6,1221.385907,0.541154158,0.134519448,4.022869296,5.75E-05,0.011391464,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Gsg1l,1914.283367,0.502627172,0.125459473,4.006291117,6.17E-05,0.011748503,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Tgfb2,723.7040913,-0.732086503,0.182737659,-4.006215834,6.17E-05,0.011748503,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Prkch,201.4676548,1.520964282,0.379593392,4.006824975,6.15E-05,0.011748503,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Rassf8,435.2458387,-0.700004604,0.175734158,-3.983315557,6.80E-05,0.012774816,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,1190002N15Rik,1352.029706,-0.41088582,0.103287751,-3.978069204,6.95E-05,0.012890525,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Sh2d5,3205.507119,0.481648979,0.121255132,3.972194576,7.12E-05,0.012890525,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Mobp,4991.868768,0.575932451,0.1449486,3.97335644,7.09E-05,0.012890525,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Scn4b,2178.37613,3.40529402,0.858848103,3.964954929,7.34E-05,0.013126033,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Pde1b,8502.987764,0.719299213,0.181886753,3.954654211,7.66E-05,0.01353946,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Asic4,566.0738799,0.75975296,0.192272002,3.951448742,7.77E-05,0.013558774,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,1700003D09Rik,81.79182219,1.649117313,0.417906655,3.946137956,7.94E-05,0.013562648,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
PRJNA322294_4,PRJNA322294,Grm4,843.1054383,0.7530102,0.190840999,3.945746483,7.96E-05,0.013562648,"((Subregion==""bla"") & (Phenotype==""control"" | Phenotype==""resilient"") & (Stress.protocol==""control"" | Stress.protocol==""10d_CSDS"") & (Time.from.stress.h==""720"") & (Sex==""m""))",
